study_id,reactorcase_run_id,scenario,parameter_refit_performed,observed_co2_conversion_percent,co2_conversion_percent_pred,co2_conversion_residual,observed_meoh_selectivity_percent,meoh_selectivity_percent_pred,meoh_selectivity_residual,observed_meoh_yield_for_validation_percent,meoh_yield_percent_pred,meoh_yield_residual
DANG-2020,DANG-HR-RATIO-1,published_prose_swapped_assignment,False,4.2,1.8346729967080908,-2.3653270032919096,75.0,64.86651237346702,-10.133487626532983,3.15,1.1900883864223117,-1.9599116135776882
DANG-2020,DANG-HR-RATIO-2,published_table_4_assignment,False,6.8,3.981563684045767,-2.8184363159542327,80.0,67.8819836065754,-12.118016393424597,5.44,2.702764407289307,-2.7372355927106935
DANG-2020,DANG-HR-RATIO-2,published_prose_swapped_assignment,False,6.8,3.981563684045767,-2.8184363159542327,80.0,67.8819836065754,-12.118016393424597,5.44,2.702764407289307,-2.7372355927106935
DANG-2020,DANG-HR-RATIO-3,published_table_4_assignment,False,9.3,6.14110988643703,-3.158890113562971,85.0,68.97213080335808,-16.027869196641916,7.905000000000001,4.235654343651303,-3.669345656348698
DANG-2020,DANG-HR-RATIO-3,published_prose_swapped_assignment,False,9.3,6.14110988643703,-3.158890113562971,85.0,68.97213080335808,-16.027869196641916,7.905000000000001,4.235654343651303,-3.669345656348698
DANG-2020,DANG-HR-RATIO-4,published_table_4_assignment,False,12.0,8.161630106026339,-3.8383698939736615,87.0,69.50779695388754,-17.492203046112465,10.44,5.672969282224143,-4.767030717775857
DANG-2020,DANG-HR-RATIO-4,published_prose_swapped_assignment,False,12.0,8.161630106026339,-3.8383698939736615,87.0,69.50779695388754,-17.492203046112465,10.44,5.672969282224143,-4.767030717775857
DANG-2020,DANG-HR-RATIO-6,published_table_4_assignment,False,17.6,11.637771422141032,-5.962228577858969,92.4,70.01883759565582,-22.38116240434418,16.262400000000003,8.148632271822574,-8.113767728177429
DANG-2020,DANG-HR-RATIO-6,published_prose_swapped_assignment,False,17.6,11.637771422141032,-5.962228577858969,92.4,70.01883759565582,-22.38116240434418,16.262400000000003,8.148632271822574,-8.113767728177429
DANG-2020,DANG-HR-SV-4500,published_table_4_assignment,False,9.5,11.42203211940923,1.9220321194092307,71.0,66.72604183543051,-4.273958164569493,6.745,7.621469930453312,0.8764699304533119
DANG-2020,DANG-HR-SV-4500,published_prose_swapped_assignment,False,9.5,11.42203211940923,1.9220321194092307,71.0,66.72604183543051,-4.273958164569493,6.745,7.621469930453312,0.8764699304533119
DANG-2020,DANG-HR-SV-6750,published_table_4_assignment,False,8.0,8.118596759519054,0.11859675951905402,79.0,68.41528307357761,-10.584716926422388,6.32,5.55436095462726,-0.7656390453727404
DANG-2020,DANG-HR-SV-6750,published_prose_swapped_assignment,False,8.0,8.118596759519054,0.11859675951905402,79.0,68.41528307357761,-10.584716926422388,6.32,5.55436095462726,-0.7656390453727404
DANG-2020,DANG-HR-SV-9000,published_table_4_assignment,False,7.5,6.228642473302129,-1.2713575266978712,85.0,69.00188230673105,-15.998117693268952,6.375,4.297880548734996,-2.0771194512650037
DANG-2020,DANG-HR-SV-9000,published_prose_swapped_assignment,False,7.5,6.228642473302129,-1.2713575266978712,85.0,69.00188230673105,-15.998117693268952,6.375,4.297880548734996,-2.0771194512650037
DANG-2020,DANG-HR-SV-11250,published_table_4_assignment,False,6.8,5.035343273670007,-1.764656726329993,89.0,69.27279864326495,-19.72720135673505,6.052,3.4881232069666086,-2.563876793033391
DANG-2020,DANG-HR-SV-11250,published_prose_swapped_assignment,False,6.8,5.035343273670007,-1.764656726329993,89.0,69.27279864326495,-19.72720135673505,6.052,3.4881232069666086,-2.563876793033391
DANG-2020,DANG-HR-SV-13500,published_table_4_assignment,False,6.0,4.220005839870333,-1.7799941601296672,93.0,69.42080772475364,-23.579192275246356,5.58,2.929562140069759,-2.650437859930241
DANG-2020,DANG-HR-SV-13500,published_prose_swapped_assignment,False,6.0,4.220005839870333,-1.7799941601296672,93.0,69.42080772475364,-23.579192275246356,5.58,2.929562140069759,-2.650437859930241
YANG-2020,YANG-CUBIC-T260,published_table_4_assignment,False,1.6,1.3493656635075284,-0.2506343364924717,85.0,73.93744760209027,-11.062552397909727,1.36,0.9976865304164766,-0.3623134695835235
YANG-2020,YANG-CUBIC-T260,published_prose_swapped_assignment,False,1.6,1.5769574387457514,-0.02304256125424864,85.0,73.93112530916756,-11.068874690832445,1.36,1.1658623801113608,-0.1941376198886393
YANG-2020,YANG-CUBIC-T280,published_table_4_assignment,False,2.8,2.4820752012228975,-0.31792479877710234,60.0,70.85809082894473,10.858090828944725,1.68,1.7587511005252334,0.07875110052523349
YANG-2020,YANG-CUBIC-T280,published_prose_swapped_assignment,False,2.8,2.6581978841960803,-0.14180211580391955,60.0,70.84669713759979,10.84669713759979,1.68,1.8832454043344826,0.20324540433448268
