group_dimension,group_value,response,n,independent_studies,mae,rmse,bias_pred_minus_obs,median_absolute_error,study_balanced_mae,unit
study,SUN-2015,co2_conversion,24,1,0.6836237101013932,0.8893274506916279,0.14235145302314386,0.5154943581026331,0.6836237101013932,percentage_points
study,SUN-2015,meoh_selectivity,24,1,15.077869123910922,16.089462494835125,12.333588768582553,14.371775019916612,15.077869123910922,percentage_points
study,SUN-2015,meoh_yield,24,1,0.6741674744175556,0.7581961479693876,0.6741674744175556,0.5546290026268361,0.6741674744175556,percentage_points
study,SUN-2020,co2_conversion,1,1,5.687305618799796,5.687305618799796,-5.687305618799796,5.687305618799796,5.687305618799796,percentage_points
study,SUN-2020,meoh_selectivity,1,1,7.179590363056988,7.179590363056988,7.179590363056988,7.179590363056988,7.179590363056988,percentage_points
study,SUN-2020,meoh_yield,1,1,3.285166110938065,3.285166110938065,-3.285166110938065,3.285166110938065,3.285166110938065,percentage_points
study,WEI-2025,co2_conversion,9,1,0.32022003544720506,0.34473431050342657,-0.28673942346937603,0.26872851043909574,0.32022003544720506,percentage_points
study,WEI-2025,meoh_selectivity,9,1,11.950819711318474,13.277535788138104,10.715042009918218,13.344005556566124,11.950819711318475,percentage_points
study,WEI-2025,meoh_yield,9,1,0.6087815818027801,0.7225842983944496,0.4620318164137488,0.5038036308508095,0.60878158180278,percentage_points
study,YANG-2020,co2_conversion,26,1,2.856075636538868,3.8046686581237315,1.6845081923794092,2.2,2.8560756365388684,percentage_points
study,YANG-2020,meoh_selectivity,26,1,26.21755498820053,27.770426558622567,24.207931542368268,26.35111940507899,26.21755498820053,percentage_points
study,YANG-2020,meoh_yield,26,1,2.7327639094023533,3.09817853289791,2.7048936425113133,2.9351156724300704,2.7327639094023537,percentage_points
row_evidence_class,calculated_or_derived,co2_conversion,21,4,2.122477529350869,3.5985257592417086,-2.108128695646085,0.47462727807828387,2.5573550000649883,percentage_points
row_evidence_class,calculated_or_derived,meoh_selectivity,21,4,15.024150453048223,18.034683669807507,-3.6011146462817565,15.429374887287068,11.37107732649514,percentage_points
row_evidence_class,calculated_or_derived,meoh_yield,21,4,2.0676197677057355,3.0285818822445436,-1.608699739898652,0.9697624257962711,1.9717972859356119,percentage_points
row_evidence_class,directly_reported,co2_conversion,2,1,0.5190769928616519,0.5244026610121342,0.5190769928616519,0.5190769928616519,0.5190769928616519,percentage_points
row_evidence_class,directly_reported,meoh_selectivity,2,1,14.38194741680223,14.382361564144954,14.38194741680223,14.38194741680223,14.38194741680223,percentage_points
row_evidence_class,directly_reported,meoh_yield,2,1,0.9141089130067288,0.9762422924542833,0.9141089130067288,0.9141089130067288,0.9141089130067288,percentage_points
row_evidence_class,graph_digitized,co2_conversion,65,3,2.174310437415204,3.1357118926066287,-0.02225607967252638,1.0678900403018723,2.1986781409852902,percentage_points
row_evidence_class,graph_digitized,meoh_selectivity,65,3,19.720711055328408,21.752568345602338,10.071673805337038,17.583036289999725,19.023187255574538,percentage_points
row_evidence_class,graph_digitized,meoh_yield,65,3,2.1028334196138805,2.6011795531059,0.5407918008580844,1.9599116135776882,2.133873019773747,percentage_points
extraction_method,digitized_figure,co2_conversion,65,3,2.174310437415204,3.1357118926066287,-0.02225607967252638,1.0678900403018723,2.1986781409852902,percentage_points
extraction_method,digitized_figure,meoh_selectivity,65,3,19.720711055328408,21.752568345602338,10.071673805337038,17.583036289999725,19.023187255574538,percentage_points
extraction_method,digitized_figure,meoh_yield,65,3,2.1028334196138805,2.6011795531059,0.5407918008580844,1.9599116135776882,2.133873019773747,percentage_points
extraction_method,reported_table,co2_conversion,13,3,0.6651429534434402,1.073275728256037,-0.6419640682280201,0.38207390406341535,1.0675530244390476,percentage_points
extraction_method,reported_table,meoh_selectivity,13,3,13.291913909451305,15.580437446398065,2.3998365129433283,13.344005556566124,14.856523807272941,percentage_points
extraction_method,reported_table,meoh_yield,13,3,0.9802792560732159,1.4990828275162618,-0.2389469034617728,0.5038036308508095,1.4136932093887242,percentage_points
extraction_method,reported_text,co2_conversion,1,1,5.962228577858969,5.962228577858969,-5.962228577858969,5.962228577858969,5.962228577858969,percentage_points
extraction_method,reported_text,meoh_selectivity,1,1,22.38116240434418,22.38116240434418,-22.38116240434418,22.38116240434418,22.38116240434418,percentage_points
extraction_method,reported_text,meoh_yield,1,1,8.113767728177429,8.113767728177429,-8.113767728177429,8.113767728177429,8.113767728177429,percentage_points
extraction_method,reported_text_table,co2_conversion,8,2,3.164223688833507,4.868502742998943,-2.904685192402681,1.698648245105551,2.2825081235095555,percentage_points
extraction_method,reported_text_table,meoh_selectivity,8,2,17.739427594668623,21.02301540326848,-7.8569769206610625,15.651407027022316,16.620267535379824,percentage_points
extraction_method,reported_text_table,meoh_yield,8,2,2.6382085974708263,3.3295042097461245,-2.181154140967462,2.2184926243676224,2.0635087026494605,percentage_points
extraction_method,reported_text_with_calculated_selectivity,co2_conversion,1,1,5.687305618799796,5.687305618799796,-5.687305618799796,5.687305618799796,5.687305618799796,percentage_points
extraction_method,reported_text_with_calculated_selectivity,meoh_selectivity,1,1,7.179590363056988,7.179590363056988,7.179590363056988,7.179590363056988,7.179590363056988,percentage_points
extraction_method,reported_text_with_calculated_selectivity,meoh_yield,1,1,3.285166110938065,3.285166110938065,-3.285166110938065,3.285166110938065,3.285166110938065,percentage_points
preparation_family,commercial_air_calcined,co2_conversion,24,1,0.6836237101013932,0.8893274506916279,0.14235145302314386,0.5154943581026331,0.6836237101013932,percentage_points
preparation_family,commercial_air_calcined,meoh_selectivity,24,1,15.077869123910922,16.089462494835125,12.333588768582553,14.371775019916612,15.077869123910922,percentage_points
preparation_family,commercial_air_calcined,meoh_yield,24,1,0.6741674744175556,0.7581961479693876,0.6741674744175556,0.5546290026268361,0.6741674744175556,percentage_points
preparation_family,hydrothermal_air_calcined,co2_conversion,19,1,2.1824026924498434,2.5914463769830975,-1.967599652562656,2.2412669593778967,2.1824026924498434,percentage_points
preparation_family,hydrothermal_air_calcined,meoh_selectivity,19,1,19.817709153863323,21.552015275476883,-19.817709153863323,19.714041467122684,19.81770915386332,percentage_points
preparation_family,hydrothermal_air_calcined,meoh_yield,19,1,3.271837019352663,3.7210241813800295,-3.1795770266733676,2.792137175977512,3.271837019352663,percentage_points
preparation_family,methanol_route_inooh_calcined,co2_conversion,13,1,4.262200500071717,4.966183889657119,4.262200500071717,5.145137427987558,4.262200500071717,percentage_points
preparation_family,methanol_route_inooh_calcined,meoh_selectivity,13,1,22.294478065123606,22.893453801242007,19.977162311599038,22.016703983385113,22.294478065123606,percentage_points
preparation_family,methanol_route_inooh_calcined,meoh_yield,13,1,3.063385950203622,3.4068855992586653,3.063385950203622,3.1742361391771725,3.0633859502036214,percentage_points
preparation_family,nanoparticle_synthesis_calcined,co2_conversion,2,1,0.28490099079613895,0.3157091068448113,-0.28490099079613895,0.28490099079613895,0.28490099079613895,percentage_points
preparation_family,nanoparticle_synthesis_calcined,meoh_selectivity,2,1,5.20212876219378,5.413859763834281,-5.20212876219378,5.20212876219378,5.20212876219378,percentage_points
preparation_family,nanoparticle_synthesis_calcined,meoh_yield,2,1,0.18333689776529338,0.20386642101842523,-0.18333689776529338,0.18333689776529338,0.18333689776529338,percentage_points
preparation_family,precipitation_calcined,co2_conversion,30,4,2.4363110617524923,3.8480117756945145,-2.1850013264921246,0.8015599780920506,3.4954650305872508,percentage_points
preparation_family,precipitation_calcined,meoh_selectivity,30,4,19.582648922523465,23.15889017067564,14.634359185320562,17.49104105677783,15.207556391562292,percentage_points
preparation_family,precipitation_calcined,meoh_yield,30,4,2.1132263773612183,2.6234827478066842,0.26571969691911346,2.052165947560025,2.4099062004018883,percentage_points
inert_status,no_inert_reported,co2_conversion,38,2,2.7487613642338347,3.53729882716416,0.46535540707489603,2.2476677722049216,2.686161372055899,percentage_points
inert_status,no_inert_reported,meoh_selectivity,38,2,23.389621070345402,25.239020017670516,11.112027608464828,22.891171911129362,21.739992951596577,percentage_points
inert_status,no_inert_reported,meoh_yield,38,2,2.845542587639539,3.2711705721672337,0.9210899442199875,2.809968641132707,2.911330149944562,percentage_points
inert_status,reported_inert,co2_conversion,50,5,1.6497485738638817,2.9534304555634616,-1.2472539854080948,0.5242397168427617,2.2086582386195315,percentage_points
inert_status,reported_inert,meoh_selectivity,50,5,14.746233445416767,16.609615706307252,3.7108447097386312,14.480920162409436,11.45781856363411,percentage_points
inert_status,reported_inert,meoh_yield,50,5,1.4760357378486741,2.1340205590245556,-0.6360885507288455,0.8562954424878761,1.6430174610378632,percentage_points
response_specific_evidence_class,directly_reported,co2_conversion,23,5,1.9830513957431106,3.4419858824218577,-1.8796760270801947,0.47462727807828387,2.1496993986243207,percentage_points
response_specific_evidence_class,graph_digitized,co2_conversion,65,3,2.174310437415204,3.1357118926066287,-0.02225607967252638,1.0678900403018723,2.1986781409852902,percentage_points
response_specific_evidence_class,calculated_or_derived,meoh_selectivity,1,1,7.179590363056988,7.179590363056988,7.179590363056988,7.179590363056988,7.179590363056988,percentage_points
response_specific_evidence_class,directly_reported,meoh_selectivity,22,4,15.32233927202546,18.08113563284415,-2.4563228682440634,14.960233723291061,13.171666589931451,percentage_points
response_specific_evidence_class,graph_digitized,meoh_selectivity,65,3,19.720711055328408,21.752568345602338,10.071673805337038,17.583036289999725,19.023187255574538,percentage_points
response_specific_evidence_class,calculated_or_derived,meoh_yield,21,4,2.0676197677057355,3.0285818822445436,-1.608699739898652,0.9697624257962711,1.9717972859356119,percentage_points
response_specific_evidence_class,directly_reported,meoh_yield,2,1,0.9141089130067288,0.9762422924542833,0.9141089130067288,0.9141089130067288,0.9141089130067288,percentage_points
response_specific_evidence_class,graph_digitized,meoh_yield,65,3,2.1028334196138805,2.6011795531059,0.5407918008580844,1.9599116135776882,2.133873019773747,percentage_points
